"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","62.9182","60.9900","63.3230","60.8200","","3.16%"
"11/01/2022","60.9900","61.4775","62.3590","59.9835","","-0.79%"
"10/01/2022","61.4775","58.4500","64.9150","56.9074","","5.18%"
"09/01/2022","58.4500","60.2300","62.5799","53.2875","","-2.96%"
"08/01/2022","60.2300","61.6200","62.6401","58.2493","","-2.26%"
"07/01/2022","61.6200","51.4500","64.5988","51.3998","","19.77%"
"06/01/2022","51.4500","61.5000","62.4923","50.1006","","-16.34%"
"05/01/2022","61.5000","70.9600","70.9600","55.8383","","-13.33%"
"04/01/2022","70.9600","83.2000","84.9917","70.3221","","-14.71%"
"03/01/2022","83.2000","94.6025","121.2100","82.9525","","-12.05%"
"02/01/2022","94.6025","77.3792","109.1239","74.2873","","22.26%"
"01/01/2022","77.3792","74.6539","80.3251","74.1898","","3.65%"
"12/01/2021","74.6539","74.0838","75.1295","73.1070","","0.77%"
"11/01/2021","74.0838","70.9464","75.8907","70.5283","","4.42%"
"10/01/2021","70.9464","72.7514","73.2325","69.2347","","-2.48%"
"09/01/2021","72.7514","73.2274","73.6184","72.2500","","-0.65%"
"08/01/2021","73.2274","73.1409","74.5781","72.6923","","0.12%"
"07/01/2021","73.1409","73.1925","75.3361","72.8178","","-0.02%"
"06/01/2021","73.1522","73.2636","73.7045","71.5630","","-0.38%"
"05/01/2021","73.4341","75.1859","75.3481","73.1646","","-2.36%"
"04/01/2021","75.2073","75.6500","78.0207","74.2151","","-0.65%"
"03/01/2021","75.6987","74.6196","76.6440","72.5404","","1.45%"
"02/01/2021","74.6196","75.7404","76.2821","73.1509","","-1.48%"
"01/01/2021","75.7404","74.4121","76.4995","73.0857","","1.79%"
"12/01/2020","74.4121","76.4033","76.4123","72.6629","","-2.61%"
"11/01/2020","76.4033","79.5257","80.9205","75.3270","","-3.93%"
"10/01/2020","79.5257","77.6319","79.5905","76.0220","","2.44%"
"09/01/2020","77.6319","74.0718","79.9438","73.3757","","4.81%"
"08/01/2020","74.0718","74.4114","75.9878","72.6438","","-0.46%"
