Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-91.0,30051.00032,11130.999808,2013-09-30 00:00:00,0.4711538461538461,9256.999936,3936.999936,3456.0,3355.999936,775.0,6922.999808,775.0,5888.0,321.0,-1407.000064,3657.000064,7426.999808,23842.000448,-179,2720.0,27413.999616,30.350015999999982,3.65,338,-15706.999808,41896.000064,6208.999872,3262.0,0,5712.999936,361.649984,-292,41896.001536,-710.0,-1.0,0.0739026410018297,92,-292,3621.000064,77.34,32638.999552,197.0,-324.350016,-104.0,-404.0,-1407.000064,361.649984,420.0,-153,684.0,321.0,43121.000448,-1404.000064,1254.0,321.0,0.0389344642384064,-171.0,1.444,361.649984,0.2849264705882353,-1570.0,18053.999616,1180.999936,77.34,-1487.000064,5417.999872,17612.999936,356.0,221.999936,298,1637.349984,-5.0,-1232.0,23842.000448
-73.0,30581.999744,11411.999744,2013-12-31 00:00:00,-6.2615384615384615,8599.000064,3823.000064,3161.999872,4202.000064,592.0,6558.000128,592.0,3984.0,1814.0,-1379.000064,3600.0,4810.0,24783.999488,-204,2721.999872,28771.00032,375.4499840000001,737.550016,325,-17178.999808,42753.99936,5798.000256,3196.999936,-84,5991.999872,1658.550016,0,42753.998848,-751.0,-1127.000064,0.0990220542692295,92,0,5206.999808,83.0,34155.00032,-1950.000064,1129.549952,-32.5,1492.999936,-1379.000064,1658.550016,1924.999936,171,519.0,1814.0,45950.001152,-723.000064,1550.0,1814.0,0.0527664014519119,-1447.000064,1.067,1658.550016,0.217487152034664,-1668.999936,17969.999872,1775.000064,83.0,1390.0,5420.000256,11905.000448,911.0,410.999936,1196,2274.099968,24.0,-897.0,24783.999488
-66.0,29817.99936,11201.000448,2014-03-31 00:00:00,-0.9701863354037268,7048.0,3727.000064,3297.999872,3226.000064,771.0,5981.000192,771.0,4288.0,1288.0,-1146.0,3190.0,2251.000064,24241.999488,-142,2672.999936,29166.000128,18.0,66.0,314,-17891.00032,41424.000128,5575.999872,2832.0,0,5766.999808,395.0,-227,41423.998976,-641.0,-129.0,0.1192710804361217,90,-227,5210.0,82.88,34376.0,5.0,-275.0,402.5,-526.0,-1146.0,430.0,386.0,12,705.0,1288.0,47056.9984,90.999936,1158.0,1288.0,0.0654332181134274,-1422.0,1.014,430.0,0.2884399620127787,-1508.999936,17182.00064,1531.000064,82.88,-262.0,5433.999872,11183.999744,364.0,915.999936,534,2741.750016,15.0,-195.0,24241.999488
-110.0,30430.99936,11459.999744,2014-06-30 00:00:00,-3.491438356164384,8766.999552,3761.999872,3091.000064,3210.000064,429.0,5256.999936,429.0,3872.0,2204.999936,-1194.0,2567.0,3637.0,24353.999424,-143,2828.999936,27235.999744,569.2,-720.2,308,-17920.999424,41070.999104,6076.999936,2227.0,-1,5507.000064,254.8,-365,41071.0016,-1051.0,-339.0,0.1123063513545217,91,-365,4502.0,98.89,32304.0,-361.0,-65.2,116.8,917.0,-1194.0,253.8,931.0,-291,319.0,2204.999936,45156.999168,416.0,903.0,2204.999936,0.0647280554518717,-226.0,1.176,253.8,0.1516436937805572,-1979.000064,16716.99968,1220.999936,98.89,240.0,5952.999936,10943.999744,974.0,1750.0,498,2670.0,-25.0,-261.0,24353.999424
-133.0,30361.000128,11594.999808,2014-09-30 00:00:00,-0.7692307692307693,8865.000448,3716.0,3350.000128,2585.0,613.0,5015.000064,613.0,1876.0,4120.0,-1346.0,2405.0,1585.0,24365.000192,-139,2678.000128,27666.999296,639.4,-71.4,299,-18474.999808,40975.000064,5995.999936,2023.0,-3,5666.000128,265.6,596,40974.999552,-665.0,-1304.0,0.1086238486084538,92,596,4686.999936,94.32,32109.999104,-1131.0,-192.4,-104.0,1915.000064,-1346.0,265.6,1008.0,-24,480.0,4120.0,46142.001152,-1215.0,1322.0,4120.0,0.062119438216192,-992.0,1.068,265.6,0.2289021548545646,-1642.0,16609.999872,1254.0,94.32,1584.999936,5928.999936,10901.999872,359.0,54.0,500,2573.950016,-58.0,-132.0,24365.000192
-111.0,28307.0,11235.999744,2014-12-31 00:00:00,-0.6163920574566962,6312.999936,3563.000064,2908.0,2719.000064,291.0,4850.999808,291.0,3543.000064,2444.0,-1504.0,2150.000128,2141.0,22319.999936,-164,2556.999936,27516.99968,-978.05,53.05,286,-19004.99968,38406.999488,5987.000064,1706.0,4,5317.0,47.05,-22,38407.000064,-167.0,-416.0,0.0518295178658242,92,555,4782.999936,73.82,32093.999616,-357.0,-131.95,-1183.5,-1676.0,-1504.0,47.05,-8.0,-454,180.0,2444.0,46521.99936,-1504.0,1050.0,2444.0,0.0299663647392639,-1195.000064,0.199,47.05,0.113805243364699,-1206.0,16086.999552,1700.0,73.82,-1531.000064,5919.000064,10737.000448,-5.0,-446.0,348,1216.050048,-29.0,-757.0,22319.999936
-73.0,27646.99936,10967.000064,2015-03-31 00:00:00,0.3267626990144048,4322.999808,3592.999936,3262.000128,2712.0,-458.0,3467.000064,-458.0,4473.999872,1506.0,-1311.000064,875.0,971.0,21666.999296,-147,1538.0,27207.999488,-200.0,93.0,287,-19750.00064,36100.999424,5980.000064,448.0,8,5056.000128,-283.0,-236,36101.001216,-615.0,145.0,0.0123747574828688,90,56,3394.000064,67.87,31777.99936,-176.0,248.0,-659.5,-938.0,-1311.000064,-283.0,-389.0,-875,-531.0,1506.0,46957.99808,-1311.000064,436.0,1506.0,0.0073382779566726,-148.0,-1.06,-283.0,-0.2977893368010403,-1718.0,14434.000128,866.0,67.87,-1226.0,5911.000064,9602.0,-376.0,-892.000064,356,284.45,12.0,-1644.0,21666.999296
-104.0,27059.999552,10961.999872,2015-06-30 00:00:00,0.4100074682598954,3926.000128,3616.0,3248.999936,2861.0,-199.0,3492.999936,-199.0,5025.999872,931.0,-1186.0,247.0,962.0,21102.999552,-151,1952.999936,27298.000896,-352.0,406.0,287,-20579.999744,35557.99936,5957.0,-174.0,-2,5073.999872,-147.0,-5,35557.998592,-617.0,430.0,-0.005174162374302,91,-5,3415.000064,66.88,31632.001024,268.0,156.0,-334.75,-575.0,-1186.0,-147.0,-567.0,-472,-303.0,931.0,47878.00064,-1186.0,714.0,931.0,-0.0030628091115888,-100.0,-0.706,-147.0,-0.1018945245884534,-1796.0,14454.999808,934.0,66.88,-1188.999936,5888.0,8726.0,-553.0,-489.0,357,-117.35,-18.0,-1825.0,21102.999552
-66.0,28914.99968,11468.99968,2015-09-30 00:00:00,16.46153846153846,5597.000192,4383.000064,3376.999936,2502.999936,-473.0,2624.0,-473.0,3539.000064,3012.999936,-963.0,-839.0,943.0,22362.999808,-119,1671.000064,26883.00032,-159.0,0.0,286,-21255.000064,36455.999488,6551.999872,-1193.0,2308,4994.999936,-266.0,-331,36456.001536,-144.0,-152.0,-0.0284752084247476,92,-331,2543.0,50.06,30859.00032,-417.0,300.0,-39.0,2082.0,-963.0,-266.0,-279.0,-681,-539.0,3012.999936,48137.998336,-938.0,282.0,3012.999936,-0.0167620201439077,2756.0,-1.197,-266.0,-0.2830640226713959,-1251.000064,14092.99968,838.0,50.06,-956.0,6473.999872,7718.999936,-239.0,-73.0,394,-648.95,18.0,-2482.0,22362.999808
-173.0,26992.999744,11128.000512,2015-12-31 00:00:00,-0.5162790697674419,4403.999744,4413.000192,2816.0,3025.999936,-542.0,2628.0,-542.0,3876.0,2716.0,-935.0,-1588.0,461.0,20400.999872,-140,1474.0,26352.001024,-1490.0,1400.0,286,-20473.99936,34157.000384,6591.999872,-2055.000064,-34,4622.0,-413.0,-410,34157.000704,-41.0,1715.000064,-0.0545310285992151,92,224,2541.999936,48.48,29753.00096,1241.000064,324.0,-645.0,-297.0,-935.0,-413.0,-1820.999936,-312,-715.0,2716.0,46826.000384,-910.0,623.0,2716.0,-0.0312551675210301,-11.0,-1.472,-413.0,-0.3677069199457259,-1164.0,13756.000512,442.0,48.48,-909.0,6505.999872,6636.000256,-1791.000064,-193.0,373,-1134.0,-87.0,-2340.0,20400.999872
